config,samples,median_time_per_1k_ms,iqr_ms,avg_cpu_power_mw
Butterworth,10000,0.01599795068614185,0.0005978523404337466,
Fixed EMA,10000,0.00219584908336401,1.7748971004038615e-05,
Fixed EMA + Shedding,10000,0.005733297439292073,0.0008499730029143393,
KAMA,10000,0.006595850572921336,0.0001313048414885989,
Load-Adaptive EMA,10000,0.004827100201509893,1.4650868251919746e-05,
Load-Adaptive EMA + Shedding,10000,0.007712500519119202,7.915077731013125e-05,
Butterworth,100000,0.012746874999720603,0.0007160397944971919,
Fixed EMA,100000,0.00226020987611264,0.0001712499943096195,
Fixed EMA + Shedding,100000,0.00531375000718981,0.0001474002783652395,
KAMA,100000,0.006546459917444736,0.0005076025263406336,
Load-Adaptive EMA,100000,0.004542914975900203,5.583249730989424e-05,
Load-Adaptive EMA + Shedding,100000,0.008573750092182307,0.0005211475945543515,
Butterworth,200000,0.01480520993936807,0.0004987500142306107,
Fixed EMA,200000,0.0021537501015700404,0.00041999504901468754,
Fixed EMA + Shedding,200000,0.005812500021420419,0.0004893747973255813,
KAMA,200000,0.006751460023224354,0.0004385449574328959,
Load-Adaptive EMA,200000,0.004853330028709024,0.00035688019124791026,
Load-Adaptive EMA + Shedding,200000,0.008688750094734132,0.0006002100417390448,
