regime,symbol,date,seed,config,anomaly_type,roc_auc
trending,BNBUSDT,2024-01-22,0,Fixed EMA,all,0.8401671945474916
trending,BNBUSDT,2024-01-22,0,Load Adaptive EMA,all,0.8166701899079518
trending,BNBUSDT,2024-01-22,0,Load-Adaptive EMA (BW-Matched),all,0.8380541820430119
trending,BNBUSDT,2024-01-22,0,KAMA,all,0.8822539502274569
trending,BNBUSDT,2024-01-22,0,Butterworth (Default),all,0.8585439004742856
trending,BNBUSDT,2024-01-22,0,Butterworth (Matched),all,0.8575373915584269
trending,BNBUSDT,2024-01-22,0,RRCF,all,0.880455652360612
trending,BNBUSDT,2024-01-22,0,Fixed EMA,level_shift,0.648882232625859
trending,BNBUSDT,2024-01-22,0,Load Adaptive EMA,level_shift,0.5677815568802086
trending,BNBUSDT,2024-01-22,0,Load-Adaptive EMA (BW-Matched),level_shift,0.6471396061272479
trending,BNBUSDT,2024-01-22,0,KAMA,level_shift,0.596984841031483
trending,BNBUSDT,2024-01-22,0,Butterworth (Default),level_shift,0.7061811461328524
trending,BNBUSDT,2024-01-22,0,Butterworth (Matched),level_shift,0.7086896481614602
trending,BNBUSDT,2024-01-22,0,RRCF,level_shift,0.6867924926287831
trending,BNBUSDT,2024-01-22,0,Fixed EMA,point,0.9983823529411764
trending,BNBUSDT,2024-01-22,0,Load Adaptive EMA,point,0.998393137254902
trending,BNBUSDT,2024-01-22,0,Load-Adaptive EMA (BW-Matched),point,0.9984039215686273
trending,BNBUSDT,2024-01-22,0,KAMA,point,0.9986411764705883
trending,BNBUSDT,2024-01-22,0,Butterworth (Default),point,0.9970771241830065
trending,BNBUSDT,2024-01-22,0,Butterworth (Matched),point,0.9968054466230938
trending,BNBUSDT,2024-01-22,0,RRCF,point,0.9993637254901961
trending,SOLUSDT,2024-01-31,1,Fixed EMA,all,0.8554528938851144
trending,SOLUSDT,2024-01-31,1,Load Adaptive EMA,all,0.8395957988099682
trending,SOLUSDT,2024-01-31,1,Load-Adaptive EMA (BW-Matched),all,0.8558219475535845
trending,SOLUSDT,2024-01-31,1,KAMA,all,0.9181238806584175
trending,SOLUSDT,2024-01-31,1,Butterworth (Default),all,0.8795026138874329
trending,SOLUSDT,2024-01-31,1,Butterworth (Matched),all,0.8784923707469579
trending,SOLUSDT,2024-01-31,1,RRCF,all,0.894625687270276
trending,SOLUSDT,2024-01-31,1,Fixed EMA,level_shift,0.6431934805638415
trending,SOLUSDT,2024-01-31,1,Load Adaptive EMA,level_shift,0.5748191136596372
trending,SOLUSDT,2024-01-31,1,Load-Adaptive EMA (BW-Matched),level_shift,0.6673354270500212
trending,SOLUSDT,2024-01-31,1,KAMA,level_shift,0.5475635164606689
trending,SOLUSDT,2024-01-31,1,Butterworth (Default),level_shift,0.7227718156999999
trending,SOLUSDT,2024-01-31,1,Butterworth (Matched),level_shift,0.7281267356382726
trending,SOLUSDT,2024-01-31,1,RRCF,level_shift,0.6820548348398104
trending,SOLUSDT,2024-01-31,1,Fixed EMA,point,0.9983333333333333
trending,SOLUSDT,2024-01-31,1,Load Adaptive EMA,point,0.998409586056645
trending,SOLUSDT,2024-01-31,1,Load-Adaptive EMA (BW-Matched),point,0.9984095860566449
trending,SOLUSDT,2024-01-31,1,KAMA,point,0.9987690631808278
trending,SOLUSDT,2024-01-31,1,Butterworth (Default),point,0.9976810457516339
trending,SOLUSDT,2024-01-31,1,Butterworth (Matched),point,0.9975692810457517
trending,SOLUSDT,2024-01-31,1,RRCF,point,0.9996441176470587
trending,ETHUSDT,2024-01-16,2,Fixed EMA,all,0.7938810418974196
trending,ETHUSDT,2024-01-16,2,Load Adaptive EMA,all,0.8086555075262379
trending,ETHUSDT,2024-01-16,2,Load-Adaptive EMA (BW-Matched),all,0.7979357156923677
trending,ETHUSDT,2024-01-16,2,KAMA,all,0.9147814149961527
trending,ETHUSDT,2024-01-16,2,Butterworth (Default),all,0.7985283933691075
trending,ETHUSDT,2024-01-16,2,Butterworth (Matched),all,0.7968684308574902
trending,ETHUSDT,2024-01-16,2,RRCF,all,0.8792893376676345
trending,ETHUSDT,2024-01-16,2,Fixed EMA,level_shift,0.5960064013404627
trending,ETHUSDT,2024-01-16,2,Load Adaptive EMA,level_shift,0.5822862280102762
trending,ETHUSDT,2024-01-16,2,Load-Adaptive EMA (BW-Matched),level_shift,0.599370218569246
trending,ETHUSDT,2024-01-16,2,KAMA,level_shift,0.5484096781391893
trending,ETHUSDT,2024-01-16,2,Butterworth (Default),level_shift,0.5997194045979187
trending,ETHUSDT,2024-01-16,2,Butterworth (Matched),level_shift,0.5999213114899493
trending,ETHUSDT,2024-01-16,2,RRCF,level_shift,0.6615870893871549
trending,ETHUSDT,2024-01-16,2,Fixed EMA,point,0.9983823529411764
trending,ETHUSDT,2024-01-16,2,Load Adaptive EMA,point,0.9983607843137254
trending,ETHUSDT,2024-01-16,2,Load-Adaptive EMA (BW-Matched),point,0.9978725490196079
trending,ETHUSDT,2024-01-16,2,KAMA,point,0.998749019607843
trending,ETHUSDT,2024-01-16,2,Butterworth (Default),point,0.9961795206971678
trending,ETHUSDT,2024-01-16,2,Butterworth (Matched),point,0.9956067538126361
trending,ETHUSDT,2024-01-16,2,RRCF,point,0.9992374727668846
trending,BTCUSDT,2024-01-26,3,Fixed EMA,all,0.8191644443398947
trending,BTCUSDT,2024-01-26,3,Load Adaptive EMA,all,0.8365766793004401
trending,BTCUSDT,2024-01-26,3,Load-Adaptive EMA (BW-Matched),all,0.8169181707211342
trending,BTCUSDT,2024-01-26,3,KAMA,all,0.9111945906118137
trending,BTCUSDT,2024-01-26,3,Butterworth (Default),all,0.8196502623580708
trending,BTCUSDT,2024-01-26,3,Butterworth (Matched),all,0.8189210275585631
trending,BTCUSDT,2024-01-26,3,RRCF,all,0.8780172830715501
trending,BTCUSDT,2024-01-26,3,Fixed EMA,level_shift,0.6071741958197152
trending,BTCUSDT,2024-01-26,3,Load Adaptive EMA,level_shift,0.5862091336210298
trending,BTCUSDT,2024-01-26,3,Load-Adaptive EMA (BW-Matched),level_shift,0.6234832331856605
trending,BTCUSDT,2024-01-26,3,KAMA,level_shift,0.5169539163580938
trending,BTCUSDT,2024-01-26,3,Butterworth (Default),level_shift,0.622450695540509
trending,BTCUSDT,2024-01-26,3,Butterworth (Matched),level_shift,0.6215829013147812
trending,BTCUSDT,2024-01-26,3,RRCF,level_shift,0.6415306472518971
trending,BTCUSDT,2024-01-26,3,Fixed EMA,point,0.9974240740740741
trending,BTCUSDT,2024-01-26,3,Load Adaptive EMA,point,0.9976928104575165
trending,BTCUSDT,2024-01-26,3,Load-Adaptive EMA (BW-Matched),point,0.9973705882352941
trending,BTCUSDT,2024-01-26,3,KAMA,point,0.9976257080610021
trending,BTCUSDT,2024-01-26,3,Butterworth (Default),point,0.9930943355119826
trending,BTCUSDT,2024-01-26,3,Butterworth (Matched),point,0.9935294117647058
trending,BTCUSDT,2024-01-26,3,RRCF,point,0.9963900871459695
trending,SOLUSDT,2024-01-06,4,Fixed EMA,all,0.8319600719005142
trending,SOLUSDT,2024-01-06,4,Load Adaptive EMA,all,0.8144331846445464
trending,SOLUSDT,2024-01-06,4,Load-Adaptive EMA (BW-Matched),all,0.8310295578561905
trending,SOLUSDT,2024-01-06,4,KAMA,all,0.9071271190932605
trending,SOLUSDT,2024-01-06,4,Butterworth (Default),all,0.8433379536811326
